"ID","Dbin","Lac10","Lac25","Lac50","dr","dr2","dr3"
"787","875",0.0258605068227834,0.00955575507156267,0.00404585757219528,0.875,0.765625,0.669921875
"787","925",0.191131223243669,0.0556709486978505,0.0204183685386846,0.925,0.855625,0.791453125
"787","975",0.07579840328029,0.0297732606085294,0.0143015692835379,0.975,0.950625,0.926859375
"787","1025",0.0889573454528694,0.0588010835230362,0.0135241524713556,1.025,1.050625,1.076890625
"787","1075",0.0979027191544974,0.0239891965364135,0.0087570200741736,1.075,1.155625,1.242296875
"787","1125",0.0876208144898222,0.0392500081326113,0.0133612602457288,1.125,1.265625,1.423828125
"787","1175",0.0552735535555645,0.0181640984957102,0.00594659394519772,1.175,1.380625,1.622234375
"787","1225",0.042163865249995,0.0104277528426607,0.00361272853168773,1.225,1.500625,1.838265625
"953","25",0.535158348639173,0.318263889346888,0.189950190335287,0.025,0.000625,1.5625e-05
"953","75",0.511920183654918,0.270165222972221,0.151737196761108,0.075,0.005625,0.000421875
"953","125",0.375698442317882,0.128826023632185,0.0594146591176384,0.125,0.015625,0.001953125
"953","175",0.38651525288985,0.141920900839526,0.0500103437318679,0.175,0.030625,0.005359375
"953","225",0.417965376824503,0.173533985077992,0.0624440529020882,0.225,0.050625,0.011390625
"953","275",0.363701395889915,0.151343422562725,0.0723410965073616,0.275,0.075625,0.020796875
"953","325",0.390985877179929,0.149885208604325,0.0585445577824663,0.325,0.105625,0.034328125
"953","375",0.367713901683207,0.0983503352169565,0.026584452069065,0.375,0.140625,0.052734375
"953","425",0.143550012597632,0.00449042723920082,NA,0.425,0.180625,0.076765625
"1179","25",0.509113271021488,0.310688774529934,0.144301363631247,0.025,0.000625,1.5625e-05
"1179","75",0.346261109141003,0.173973753324992,0.118468126717068,0.075,0.005625,0.000421875
"1179","125",0.381222098535156,0.233891864372317,0.171795750351456,0.125,0.015625,0.001953125
"1179","175",0.315338789397903,0.193511980898694,0.163443668274631,0.175,0.030625,0.005359375
"1179","225",0.334356126205165,0.196007510375696,0.157477665790392,0.225,0.050625,0.011390625
"1179","275",0.335863726677882,0.176984265160883,0.151757983883896,0.275,0.075625,0.020796875
"1179","325",0.263556437985648,0.138188512315918,0.101502530791246,0.325,0.105625,0.034328125
"1179","375",0.210558436007593,0.116134495555892,0.0728329682227895,0.375,0.140625,0.052734375
"1179","425",0.303330345108297,0.138034251606012,0.015634788913167,0.425,0.180625,0.076765625
"1327","25",0.410527243324592,0.251191999745752,0.100532022797318,0.025,0.000625,1.5625e-05
"1327","75",0.359036368488454,0.134075188983311,0.0637609138247578,0.075,0.005625,0.000421875
"1327","125",0.34540553858916,0.147577527856375,0.059436491390103,0.125,0.015625,0.001953125
"1327","175",0.227061542847049,0.105792418904564,0.0561593814842582,0.175,0.030625,0.005359375
"1327","225",0.225321087899356,0.118536528915171,0.0801426055897325,0.225,0.050625,0.011390625
"1327","275",0.450055003748843,0.194914631793308,0.150567845303962,0.275,0.075625,0.020796875
"1327","325",0.482925897736738,0.354699738441395,0.243153322475308,0.325,0.105625,0.034328125
"1327","375",0.27526974879973,0.124974958361616,0.0824753621931674,0.375,0.140625,0.052734375
"1327","425",0.192068754351304,0.0483700030919288,0.0425148904911742,0.425,0.180625,0.076765625
"1327","475",0.0292342568591445,0.00856847829431773,0.00274271385115122,0.475,0.225625,0.107171875
"1327","525",0.034707131308886,0.00548190408893845,0.00114737069857252,0.525,0.275625,0.144703125
"1327","575",0.0083690299041059,0.00160617692572565,0.000660076650991678,0.575,0.330625,0.190109375
"1327","625",0.00740480748106961,0.012007562735325,0.00357893263282306,0.625,0.390625,0.244140625
"1327","675",0.0527724003904514,0.0153691596437375,0.00381032849930737,0.675,0.455625,0.307546875
"1327","725",0.0375462556990423,0.00088164412488127,0.000710675003902915,0.725,0.525625,0.381078125
"1327","775",0.00279192521430238,0.000530505009677345,0.000285223963330354,0.775,0.600625,0.465484375
"1327","825",0.00728185807797239,0.00154154281214099,0.000464647185453871,0.825,0.680625,0.561515625
"1327","875",0.00816972471666758,0.00351371320516767,0.000772000145405893,0.875,0.765625,0.669921875
"1327","925",NA,NA,NA,0.925,0.855625,0.791453125
"1375","25",0.3842848387889,0.172867307864398,0.0914775637724645,0.025,0.000625,1.5625e-05
"1375","75",0.332215646237444,0.151339068115161,0.0799606428602684,0.075,0.005625,0.000421875
"1375","125",0.432519077683087,0.337916456644348,0.265690467409988,0.125,0.015625,0.001953125
"1375","175",0.549501986941889,0.410190860946502,0.334439032309786,0.175,0.030625,0.005359375
"1375","225",0.469162069648056,0.34521478915264,0.259367489352013,0.225,0.050625,0.011390625
"1375","275",0.452498487228885,0.270994086320108,0.178252646988799,0.275,0.075625,0.020796875
"1375","325",0.410478598300767,0.239993649999322,0.156506376801788,0.325,0.105625,0.034328125
"1375","375",0.449180879839201,0.228299955272092,0.118627185798995,0.375,0.140625,0.052734375
"1375","425",0.343450265352053,0.127056722639884,0.064225716005667,0.425,0.180625,0.076765625
"1375","475",0.343342116471517,0.10940068435502,0.0264494799157006,0.475,0.225625,0.107171875
"1556","475",NA,NA,NA,0.475,0.225625,0.107171875
"1556","525",NA,NA,NA,0.525,0.275625,0.144703125
"1556","575",NA,NA,NA,0.575,0.330625,0.190109375
"1556","625",NA,NA,NA,0.625,0.390625,0.244140625
"1556","675",NA,NA,NA,0.675,0.455625,0.307546875
"1556","725",NA,0.0010150069461081,0.000248483497311895,0.725,0.525625,0.381078125
"1556","775",0.00492047678125504,0.000958601325135047,0.000248691845753683,0.775,0.600625,0.465484375
"1556","825",NA,NA,NA,0.825,0.680625,0.561515625
"1556","875",NA,NA,NA,0.875,0.765625,0.669921875
"1556","925",NA,NA,0.000102040833565488,0.925,0.855625,0.791453125
"1556","975",0.00223012448699445,0.000390843799639725,9.78042583298282e-05,0.975,0.950625,0.926859375
"1556","1025",NA,NA,NA,1.025,1.050625,1.076890625
"1556","1075",NA,NA,NA,1.075,1.155625,1.242296875
"1556","1125",0.00782995837639326,0.00129266080406329,0.000346044018936858,1.125,1.265625,1.423828125
"1556","1175",0.490106831326025,0.294627182458875,0.0873876520694376,1.175,1.380625,1.622234375
"1556","1225",0.343192441915124,0.126817416536827,0.072107750451444,1.225,1.500625,1.838265625
"1556","1275",NA,NA,NA,1.275,1.625625,2.072671875
